Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2020,Georgia Tech,Geoff Collins,ACC,"3,100,000.00",2019,3,7,30,"Atlanta, Georgia",55000,73
2016,Georgia Tech,Paul Johnson,ACC,"2,800,000.00",2015,3,9,25,"Atlanta, Georgia",55000,73
2019,Georgia Tech,Paul Johnson,ACC,"3,060,018.00",2018,3,9,25,"Atlanta, Georgia",55000,73
2018,Georgia Tech,Paul Johnson,ACC,"2,970,891.00",2017,5,6,45,"Atlanta, Georgia",55000,73
2017,Georgia Tech,Paul Johnson,ACC,"2,884,361.00",2016,9,4,69,"Atlanta, Georgia",55000,73
2015,Georgia Tech,Paul Johnson,ACC,"2,588,000.00",2014,11,3,79,"Atlanta, Georgia",55000,73
2018,Hawaii,Nick Rolovich,MtWest,"400,008.00",2017,3,9,25,"Honolulu, Hawaii",50000,56
2017,Hawaii,Nick Rolovich,MtWest,"400,008.00",2016,7,7,50,"Honolulu, Hawaii",50000,56
2019,Hawaii,Nick Rolovich,MtWest,"425,004.00",2018,10,5,67,"Honolulu, Hawaii",50000,56
2016,Hawaii,Norm Chow,MtWest,"550,000.00",2015,3,10,23,"Honolulu, Hawaii",50000,56
2015,Hawaii,Norm Chow,MtWest,"550,000.00",2014,4,9,31,"Honolulu, Hawaii",50000,56
2020,Hawaii,Todd Graham,MtWest,"760,000.00",2019,5,4,56,"Honolulu, Hawaii",50000,56
2020,Houston,Dana Holgorsen,AAC,"3,800,000.00",2019,3,5,38,"Houston, Texas",40000,60
2019,Houston,Major Applewhite,AAC,"1,750,000.00",2018,4,8,33,"Houston, Texas",40000,60
2018,Houston,Major Applewhite,AAC,"1,750,000.00",2017,7,5,58,"Houston, Texas",40000,60
2017,Houston,Tom Herman,AAC,"3,000,000.00",2016,9,4,69,"Houston, Texas",40000,60
2016,Houston,Tom Herman,AAC,"1,750,000.00",2015,13,1,93,"Houston, Texas",40000,60
2015,Houston,Tony Levine,AAC,"1,025,000.00",2014,8,5,62,"Houston, Texas",40000,60
2015,Idaho,Paul Petrino,SunBelt,"400,011.00",2014,1,10,9,"Moscow, Idaho",16000,32
2016,Idaho,Paul Petrino,SunBelt,"413,526.00",2015,4,8,33,"Moscow, Idaho",16000,32
